"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1997900394,-0.6,16,16,0.2,0.3,0.1,0.1,0.1
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1997904292,-0.6,16,16,0.2,0.3,0.1,0.1,0.3
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1997905173,-0.6,16,16,0.2,0.3,0.1,0.1,0.5
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1997906019,-0.6,16,16,0.2,0.3,0.1,0.2,0.2
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1997907190,-0.6,16,16,0.2,0.3,0.1,0.2,0.4
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1997907565,-0.6,16,16,0.2,0.3,0.1,0.3,0.1
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908046,-0.6,16,16,0.2,0.3,0.1,0.3,0.3
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908307,-0.6,16,16,0.2,0.3,0.1,0.3,0.5
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908633,-0.6,16,16,0.2,0.3,0.1,0.4,0.2
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908787,-0.6,16,16,0.2,0.3,0.1,0.4,0.4
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909035,-0.6,16,16,0.2,0.3,0.1,0.5,0.1
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909172,-0.6,16,16,0.2,0.3,0.1,0.5,0.3
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909492,-0.6,16,16,0.2,0.3,0.1,0.5,0.5
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909623,-0.6,16,16,0.2,0.4,0.1,0.1,0.2
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909703,-0.6,16,16,0.2,0.4,0.1,0.1,0.4
31,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909841,-0.6,16,16,0.2,0.4,0.1,0.2,0.1
33,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909966,-0.6,16,16,0.2,0.4,0.1,0.2,0.3
35,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910028,-0.6,16,16,0.2,0.4,0.1,0.2,0.5
37,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910119,-0.6,16,16,0.2,0.4,0.1,0.3,0.2
39,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910174,-0.6,16,16,0.2,0.4,0.1,0.3,0.4
41,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910256,-0.6,16,16,0.2,0.4,0.1,0.4,0.1
43,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910351,-0.6,16,16,0.2,0.4,0.1,0.4,0.3
45,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910453,-0.6,16,16,0.2,0.4,0.1,0.4,0.5
47,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910537,-0.6,16,16,0.2,0.4,0.1,0.5,0.2
49,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910651,-0.6,16,16,0.2,0.4,0.1,0.5,0.4
51,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910752,-0.6,16,16,0.2,0.5,0.1,0.1,0.1
53,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910867,-0.6,16,16,0.2,0.5,0.1,0.1,0.3
55,-16,-0.99,-16,-0.1,-0.2,-0.99,1997910926,-0.6,16,16,0.2,0.5,0.1,0.1,0.5
57,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911037,-0.6,16,16,0.2,0.5,0.1,0.2,0.2
59,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911093,-0.6,16,16,0.2,0.5,0.1,0.2,0.4
61,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911160,-0.6,16,16,0.2,0.5,0.1,0.3,0.1
63,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911223,-0.6,16,16,0.2,0.5,0.1,0.3,0.3
65,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911321,-0.6,16,16,0.2,0.5,0.1,0.3,0.5
67,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911373,-0.6,16,16,0.2,0.5,0.1,0.4,0.2
69,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911435,-0.6,16,16,0.2,0.5,0.1,0.4,0.4
71,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911545,-0.6,16,16,0.2,0.5,0.1,0.5,0.1
73,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911641,-0.6,16,16,0.2,0.5,0.1,0.5,0.3
75,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911706,-0.6,16,16,0.2,0.5,0.1,0.5,0.5
77,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911794,-0.6,16,16,0.2,0.6,0.1,0.1,0.2
79,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911889,-0.6,16,16,0.2,0.6,0.1,0.1,0.4
81,-16,-0.99,-16,-0.1,-0.2,-0.99,1997911979,-0.6,16,16,0.2,0.6,0.1,0.2,0.1
83,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912135,-0.6,16,16,0.2,0.6,0.1,0.2,0.3
85,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912247,-0.6,16,16,0.2,0.6,0.1,0.2,0.5
87,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912318,-0.6,16,16,0.2,0.6,0.1,0.3,0.2
89,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912363,-0.6,16,16,0.2,0.6,0.1,0.3,0.4
91,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912417,-0.6,16,16,0.2,0.6,0.1,0.4,0.1
93,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912466,-0.6,16,16,0.2,0.6,0.1,0.4,0.3
95,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912532,-0.6,16,16,0.2,0.6,0.1,0.4,0.5
97,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912590,-0.6,16,16,0.2,0.6,0.1,0.5,0.2
99,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912641,-0.6,16,16,0.2,0.6,0.1,0.5,0.4
101,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912756,-0.6,16,16,0.2,0.7,0.1,0.1,0.1
103,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912837,-0.6,16,16,0.2,0.7,0.1,0.1,0.3
105,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912892,-0.6,16,16,0.2,0.7,0.1,0.1,0.5
107,-16,-0.99,-16,-0.1,-0.2,-0.99,1997912961,-0.6,16,16,0.2,0.7,0.1,0.2,0.2
109,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913018,-0.6,16,16,0.2,0.7,0.1,0.2,0.4
111,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913091,-0.6,16,16,0.2,0.7,0.1,0.3,0.1
113,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913155,-0.6,16,16,0.2,0.7,0.1,0.3,0.3
115,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913239,-0.6,16,16,0.2,0.7,0.1,0.3,0.5
117,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913293,-0.6,16,16,0.2,0.7,0.1,0.4,0.2
119,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913353,-0.6,16,16,0.2,0.7,0.1,0.4,0.4
121,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913413,-0.6,16,16,0.2,0.7,0.1,0.5,0.1
123,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913459,-0.6,16,16,0.2,0.7,0.1,0.5,0.3
125,-16,-0.99,-16,-0.1,-0.2,-0.99,1997913490,-0.6,16,16,0.2,0.7,0.1,0.5,0.5
2,-16,-0.99,-16,-0.1,-0.2,-0.99,1997900337,-0.6,16,16,0.2,0.3,0.1,0.1,0.2
4,-16,-0.99,-16,-0.1,-0.2,-0.99,1997903670,-0.6,16,16,0.2,0.3,0.1,0.1,0.4
6,-16,-0.99,-16,-0.1,-0.2,-0.99,1997904773,-0.6,16,16,0.2,0.3,0.1,0.2,0.1
8,-16,-0.99,-16,-0.1,-0.2,-0.99,1997905746,-0.6,16,16,0.2,0.3,0.1,0.2,0.3
10,-16,-0.99,-16,-0.1,-0.2,-0.99,1997906056,-0.6,16,16,0.2,0.3,0.1,0.2,0.5
12,-16,-0.99,-16,-0.1,-0.2,-0.99,1997907025,-0.6,16,16,0.2,0.3,0.1,0.3,0.2
14,-16,-0.99,-16,-0.1,-0.2,-0.99,1997907321,-0.6,16,16,0.2,0.3,0.1,0.3,0.4
16,-16,-0.99,-16,-0.1,-0.2,-0.99,1997907606,-0.6,16,16,0.2,0.3,0.1,0.4,0.1
18,-16,-0.99,-16,-0.1,-0.2,-0.99,1997907992,-0.6,16,16,0.2,0.3,0.1,0.4,0.3
20,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908169,-0.6,16,16,0.2,0.3,0.1,0.4,0.5
22,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908286,-0.6,16,16,0.2,0.3,0.1,0.5,0.2
24,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908725,-0.6,16,16,0.2,0.3,0.1,0.5,0.4
26,-16,-0.99,-16,-0.1,-0.2,-0.99,1997908931,-0.6,16,16,0.2,0.4,0.1,0.1,0.1
28,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909165,-0.6,16,16,0.2,0.4,0.1,0.1,0.3
30,-16,-0.99,-16,-0.1,-0.2,-0.99,1997909355,-0.6,16,16,0.2,0.4,0.1,0.1,0.5
