"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-1.0,-16,-0.1,-0.2,-0.99,1397114217,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.8,-16,-0.1,-0.2,-0.99,1397118289,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.6,-16,-0.1,-0.2,-0.99,1397119130,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.4,-16,-0.1,-0.2,-0.99,1397119782,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.2,-16,-0.1,-0.2,-0.99,1397120335,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,0.0,-16,-0.1,-0.2,-0.99,1397120517,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.9,-16,-0.1,-0.2,-0.99,1397114225,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.7,-16,-0.1,-0.2,-0.99,1397116729,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.5,-16,-0.1,-0.2,-0.99,1397117853,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.3,-16,-0.1,-0.2,-0.99,1397118551,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.1,-16,-0.1,-0.2,-0.99,1397119258,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
