"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1827699651,-0.6,16,16,0.0,0.0,-0.1,0.0,0.0
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1827703502,-0.6,16,16,0.0,0.0,-0.1,0.0,0.2
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1827704275,-0.6,16,16,0.0,0.0,-0.1,0.0,0.4
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1827704878,-0.6,16,16,0.0,0.0,-0.1,0.0,0.6
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1827705816,-0.6,16,16,0.0,0.0,-0.1,0.0,0.8
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1827706285,-0.6,16,16,0.0,0.0,-0.1,0.0,1.0
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1827706649,-0.6,16,16,0.0,0.0,-0.1,0.1,0.1
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1827706774,-0.6,16,16,0.0,0.0,-0.1,0.1,0.3
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1827706890,-0.6,16,16,0.0,0.0,-0.1,0.1,0.5
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1827707088,-0.6,16,16,0.0,0.0,-0.1,0.1,0.7
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1827707204,-0.6,16,16,0.0,0.0,-0.1,0.1,0.9
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1827707536,-0.6,16,16,0.0,0.0,-0.1,0.2,0.0
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1827707761,-0.6,16,16,0.0,0.0,-0.1,0.2,0.2
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1827707908,-0.6,16,16,0.0,0.0,-0.1,0.2,0.4
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708071,-0.6,16,16,0.0,0.0,-0.1,0.2,0.6
31,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708195,-0.6,16,16,0.0,0.0,-0.1,0.2,0.8
33,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708297,-0.6,16,16,0.0,0.0,-0.1,0.2,1.0
35,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708452,-0.6,16,16,0.0,0.0,-0.1,0.3,0.1
37,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708548,-0.6,16,16,0.0,0.0,-0.1,0.3,0.3
39,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708619,-0.6,16,16,0.0,0.0,-0.1,0.3,0.5
41,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708692,-0.6,16,16,0.0,0.0,-0.1,0.3,0.7
43,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708758,-0.6,16,16,0.0,0.0,-0.1,0.3,0.9
45,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708849,-0.6,16,16,0.0,0.0,-0.1,0.4,0.0
47,-16,-0.99,-16,-0.1,-0.2,-0.99,1827708905,-0.6,16,16,0.0,0.0,-0.1,0.4,0.2
49,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709016,-0.6,16,16,0.0,0.0,-0.1,0.4,0.4
51,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709105,-0.6,16,16,0.0,0.0,-0.1,0.4,0.6
53,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709191,-0.6,16,16,0.0,0.0,-0.1,0.4,0.8
55,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709384,-0.6,16,16,0.0,0.0,-0.1,0.4,1.0
57,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709452,-0.6,16,16,0.0,0.0,-0.1,0.5,0.1
59,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709523,-0.6,16,16,0.0,0.0,-0.1,0.5,0.3
61,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709641,-0.6,16,16,0.0,0.0,-0.1,0.5,0.5
63,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709716,-0.6,16,16,0.0,0.0,-0.1,0.5,0.7
65,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709860,-0.6,16,16,0.0,0.0,-0.1,0.5,0.9
67,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709927,-0.6,16,16,0.0,0.0,-0.1,0.6,0.0
69,-16,-0.99,-16,-0.1,-0.2,-0.99,1827709994,-0.6,16,16,0.0,0.0,-0.1,0.6,0.2
71,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710059,-0.6,16,16,0.0,0.0,-0.1,0.6,0.4
73,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710188,-0.6,16,16,0.0,0.0,-0.1,0.6,0.6
75,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710264,-0.6,16,16,0.0,0.0,-0.1,0.6,0.8
77,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710392,-0.6,16,16,0.0,0.0,-0.1,0.6,1.0
79,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710555,-0.6,16,16,0.0,0.0,-0.1,0.7,0.1
81,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710691,-0.6,16,16,0.0,0.0,-0.1,0.7,0.3
83,-16,-0.99,-16,-0.1,-0.2,-0.99,1827710910,-0.6,16,16,0.0,0.0,-0.1,0.7,0.5
85,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711000,-0.6,16,16,0.0,0.0,-0.1,0.7,0.7
87,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711105,-0.6,16,16,0.0,0.0,-0.1,0.7,0.9
89,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711239,-0.6,16,16,0.0,0.0,-0.1,0.8,0.0
91,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711378,-0.6,16,16,0.0,0.0,-0.1,0.8,0.2
93,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711486,-0.6,16,16,0.0,0.0,-0.1,0.8,0.4
95,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711559,-0.6,16,16,0.0,0.0,-0.1,0.8,0.6
97,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711614,-0.6,16,16,0.0,0.0,-0.1,0.8,0.8
99,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711692,-0.6,16,16,0.0,0.0,-0.1,0.8,1.0
101,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711761,-0.6,16,16,0.0,0.0,-0.1,0.9,0.1
103,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711828,-0.6,16,16,0.0,0.0,-0.1,0.9,0.3
105,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711880,-0.6,16,16,0.0,0.0,-0.1,0.9,0.5
107,-16,-0.99,-16,-0.1,-0.2,-0.99,1827711953,-0.6,16,16,0.0,0.0,-0.1,0.9,0.7
109,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712041,-0.6,16,16,0.0,0.0,-0.1,0.9,0.9
111,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712096,-0.6,16,16,0.0,0.0,-0.1,1.0,0.0
113,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712194,-0.6,16,16,0.0,0.0,-0.1,1.0,0.2
115,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712256,-0.6,16,16,0.0,0.0,-0.1,1.0,0.4
117,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712333,-0.6,16,16,0.0,0.0,-0.1,1.0,0.6
119,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712380,-0.6,16,16,0.0,0.0,-0.1,1.0,0.8
121,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712471,-0.6,16,16,0.0,0.0,-0.1,1.0,1.0
123,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712585,-0.6,16,16,0.0,0.1,-0.1,0.0,0.1
125,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712656,-0.6,16,16,0.0,0.1,-0.1,0.0,0.3
127,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712709,-0.6,16,16,0.0,0.1,-0.1,0.0,0.5
129,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712795,-0.6,16,16,0.0,0.1,-0.1,0.0,0.7
131,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712886,-0.6,16,16,0.0,0.1,-0.1,0.0,0.9
133,-16,-0.99,-16,-0.1,-0.2,-0.99,1827712953,-0.6,16,16,0.0,0.1,-0.1,0.1,0.0
135,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713032,-0.6,16,16,0.0,0.1,-0.1,0.1,0.2
137,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713097,-0.6,16,16,0.0,0.1,-0.1,0.1,0.4
139,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713203,-0.6,16,16,0.0,0.1,-0.1,0.1,0.6
141,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713252,-0.6,16,16,0.0,0.1,-0.1,0.1,0.8
143,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713311,-0.6,16,16,0.0,0.1,-0.1,0.1,1.0
145,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713384,-0.6,16,16,0.0,0.1,-0.1,0.2,0.1
147,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713442,-0.6,16,16,0.0,0.1,-0.1,0.2,0.3
149,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713513,-0.6,16,16,0.0,0.1,-0.1,0.2,0.5
151,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713585,-0.6,16,16,0.0,0.1,-0.1,0.2,0.7
153,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713754,-0.6,16,16,0.0,0.1,-0.1,0.2,0.9
155,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713879,-0.6,16,16,0.0,0.1,-0.1,0.3,0.0
157,-16,-0.99,-16,-0.1,-0.2,-0.99,1827713971,-0.6,16,16,0.0,0.1,-0.1,0.3,0.2
159,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714060,-0.6,16,16,0.0,0.1,-0.1,0.3,0.4
161,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714203,-0.6,16,16,0.0,0.1,-0.1,0.3,0.6
163,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714334,-0.6,16,16,0.0,0.1,-0.1,0.3,0.8
165,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714437,-0.6,16,16,0.0,0.1,-0.1,0.3,1.0
167,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714561,-0.6,16,16,0.0,0.1,-0.1,0.4,0.1
169,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714615,-0.6,16,16,0.0,0.1,-0.1,0.4,0.3
171,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714742,-0.6,16,16,0.0,0.1,-0.1,0.4,0.5
173,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714803,-0.6,16,16,0.0,0.1,-0.1,0.4,0.7
175,-16,-0.99,-16,-0.1,-0.2,-0.99,1827714925,-0.6,16,16,0.0,0.1,-0.1,0.4,0.9
177,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715002,-0.6,16,16,0.0,0.1,-0.1,0.5,0.0
179,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715058,-0.6,16,16,0.0,0.1,-0.1,0.5,0.2
181,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715176,-0.6,16,16,0.0,0.1,-0.1,0.5,0.4
183,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715256,-0.6,16,16,0.0,0.1,-0.1,0.5,0.6
185,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715328,-0.6,16,16,0.0,0.1,-0.1,0.5,0.8
187,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715381,-0.6,16,16,0.0,0.1,-0.1,0.5,1.0
189,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715434,-0.6,16,16,0.0,0.1,-0.1,0.6,0.1
191,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715510,-0.6,16,16,0.0,0.1,-0.1,0.6,0.3
193,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715607,-0.6,16,16,0.0,0.1,-0.1,0.6,0.5
195,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715680,-0.6,16,16,0.0,0.1,-0.1,0.6,0.7
197,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715740,-0.6,16,16,0.0,0.1,-0.1,0.6,0.9
199,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715801,-0.6,16,16,0.0,0.1,-0.1,0.7,0.0
201,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715873,-0.6,16,16,0.0,0.1,-0.1,0.7,0.2
203,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715925,-0.6,16,16,0.0,0.1,-0.1,0.7,0.4
205,-16,-0.99,-16,-0.1,-0.2,-0.99,1827715987,-0.6,16,16,0.0,0.1,-0.1,0.7,0.6
207,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716045,-0.6,16,16,0.0,0.1,-0.1,0.7,0.8
209,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716087,-0.6,16,16,0.0,0.1,-0.1,0.7,1.0
211,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716134,-0.6,16,16,0.0,0.1,-0.1,0.8,0.1
213,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716191,-0.6,16,16,0.0,0.1,-0.1,0.8,0.3
215,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716240,-0.6,16,16,0.0,0.1,-0.1,0.8,0.5
217,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716346,-0.6,16,16,0.0,0.1,-0.1,0.8,0.7
219,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716380,-0.6,16,16,0.0,0.1,-0.1,0.8,0.9
221,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716455,-0.6,16,16,0.0,0.1,-0.1,0.9,0.0
223,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716506,-0.6,16,16,0.0,0.1,-0.1,0.9,0.2
225,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716623,-0.6,16,16,0.0,0.1,-0.1,0.9,0.4
227,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716740,-0.6,16,16,0.0,0.1,-0.1,0.9,0.6
229,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716818,-0.6,16,16,0.0,0.1,-0.1,0.9,0.8
231,-16,-0.99,-16,-0.1,-0.2,-0.99,1827716885,-0.6,16,16,0.0,0.1,-0.1,0.9,1.0
