"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1997749456,-0.6,16,16,0.2,0.1,0.1,0.1,0.1
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1997751849,-0.6,16,16,0.2,0.1,0.1,0.1,0.3
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1997752726,-0.6,16,16,0.2,0.1,0.1,0.1,0.5
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1997753557,-0.6,16,16,0.2,0.1,0.1,0.1,0.7
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1997754134,-0.6,16,16,0.2,0.1,0.1,0.1,0.9
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1997754607,-0.6,16,16,0.2,0.1,0.1,0.2,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1997755278,-0.6,16,16,0.2,0.1,0.1,0.2,0.4
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1997755505,-0.6,16,16,0.2,0.1,0.1,0.2,0.6
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1997755768,-0.6,16,16,0.2,0.1,0.1,0.2,0.8
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1997755973,-0.6,16,16,0.2,0.1,0.1,0.3,0.1
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1997756081,-0.6,16,16,0.2,0.1,0.1,0.3,0.3
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1997756207,-0.6,16,16,0.2,0.1,0.1,0.3,0.5
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1997756741,-0.6,16,16,0.2,0.1,0.1,0.3,0.7
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1997756873,-0.6,16,16,0.2,0.1,0.1,0.3,0.9
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1997756977,-0.6,16,16,0.2,0.1,0.1,0.4,0.2
31,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757099,-0.6,16,16,0.2,0.1,0.1,0.4,0.4
33,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757257,-0.6,16,16,0.2,0.1,0.1,0.4,0.6
35,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757380,-0.6,16,16,0.2,0.1,0.1,0.4,0.8
37,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757446,-0.6,16,16,0.2,0.1,0.1,0.5,0.1
39,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757544,-0.6,16,16,0.2,0.1,0.1,0.5,0.3
41,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757639,-0.6,16,16,0.2,0.1,0.1,0.5,0.5
43,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757706,-0.6,16,16,0.2,0.1,0.1,0.5,0.7
45,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757840,-0.6,16,16,0.2,0.1,0.1,0.5,0.9
47,-16,-0.99,-16,-0.1,-0.2,-0.99,1997757903,-0.6,16,16,0.2,0.1,0.1,0.6,0.2
49,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758055,-0.6,16,16,0.2,0.1,0.1,0.6,0.4
51,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758126,-0.6,16,16,0.2,0.1,0.1,0.6,0.6
53,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758190,-0.6,16,16,0.2,0.1,0.1,0.6,0.8
55,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758314,-0.6,16,16,0.2,0.1,0.1,0.7,0.1
57,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758426,-0.6,16,16,0.2,0.1,0.1,0.7,0.3
59,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758544,-0.6,16,16,0.2,0.1,0.1,0.7,0.5
61,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758604,-0.6,16,16,0.2,0.1,0.1,0.7,0.7
63,-16,-0.99,-16,-0.1,-0.2,-0.99,1997758666,-0.6,16,16,0.2,0.1,0.1,0.7,0.9
