"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1399640838,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1399643398,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1399644261,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1399644915,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1399645604,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1399646120,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1399646520,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647189,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647418,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647614,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647772,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647875,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1399648358,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1399648621,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1399649184,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.99,-16,-0.1,-0.2,-0.99,1399641210,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.99,-16,-0.1,-0.2,-0.99,1399644795,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.99,-16,-0.1,-0.2,-0.99,1399645545,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.99,-16,-0.1,-0.2,-0.99,1399646030,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.99,-16,-0.1,-0.2,-0.99,1399646458,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
12,-16,-0.99,-16,-0.1,-0.2,-0.99,1399646888,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
14,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647239,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
16,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647411,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
18,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647587,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
20,-16,-0.99,-16,-0.1,-0.2,-0.99,1399647892,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
22,-16,-0.99,-16,-0.1,-0.2,-0.99,1399648038,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
24,-16,-0.99,-16,-0.1,-0.2,-0.99,1399648162,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
26,-16,-0.99,-16,-0.1,-0.2,-0.99,1399649203,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
28,-16,-0.99,-16,-0.1,-0.2,-0.99,1399649401,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
30,-16,-0.99,-16,-0.1,-0.2,-0.99,1399649553,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
