"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Resistance"
5,"empty"
5,"Spy"
7,"empty"
7,"Spy"
9,"empty"
9,"Spy"
11,"empty"
11,"Resistance"
13,"empty"
13,"Spy"
15,"empty"
15,"Spy"
17,"empty"
17,"Spy"
19,"empty"
19,"Spy"
21,"empty"
21,"Spy"
23,"empty"
23,"Spy"
25,"empty"
25,"Spy"
27,"empty"
27,"Spy"
29,"empty"
29,"Spy"
31,"empty"
31,"Spy"
33,"empty"
33,"Spy"
35,"empty"
35,"Spy"
37,"empty"
37,"Spy"
39,"empty"
39,"Resistance"
41,"empty"
41,"Resistance"
43,"empty"
43,"Spy"
45,"empty"
45,"Spy"
47,"empty"
47,"Resistance"
49,"empty"
49,"Spy"
51,"empty"
51,"Spy"
53,"empty"
53,"Resistance"
55,"empty"
55,"Spy"
2,"empty"
2,"Spy"
4,"empty"
4,"Spy"
6,"empty"
6,"Spy"
8,"empty"
8,"Spy"
10,"empty"
10,"Spy"
12,"empty"
12,"Spy"
14,"empty"
14,"Spy"
16,"empty"
16,"Spy"
18,"empty"
18,"Resistance"
20,"empty"
20,"Resistance"
22,"empty"
22,"Resistance"
24,"empty"
24,"Resistance"
26,"empty"
26,"Spy"
28,"empty"
28,"Spy"
30,"empty"
30,"Resistance"
32,"empty"
32,"Spy"
34,"empty"
34,"Spy"
36,"empty"
36,"Spy"
38,"empty"
38,"Spy"
40,"empty"
40,"Spy"
42,"empty"
42,"Resistance"
44,"empty"
44,"Spy"
46,"empty"
46,"Spy"
48,"empty"
48,"Spy"
50,"empty"
50,"Resistance"
52,"empty"
52,"Spy"
54,"empty"
54,"Resistance"
