"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Spy"
5,"empty"
5,"Resistance"
7,"empty"
7,"Spy"
9,"empty"
9,"Spy"
11,"empty"
11,"Spy"
13,"empty"
13,"Resistance"
15,"empty"
15,"Spy"
17,"empty"
17,"Spy"
19,"empty"
19,"Spy"
21,"empty"
21,"Spy"
23,"empty"
23,"Spy"
25,"empty"
25,"Resistance"
27,"empty"
27,"Spy"
29,"empty"
29,"Resistance"
2,"empty"
2,"Resistance"
4,"empty"
4,"Resistance"
6,"empty"
6,"Spy"
8,"empty"
8,"Spy"
10,"empty"
10,"Spy"
12,"empty"
12,"Spy"
14,"empty"
14,"Resistance"
16,"empty"
16,"Spy"
18,"empty"
18,"Spy"
20,"empty"
20,"Spy"
22,"empty"
22,"Spy"
24,"empty"
24,"Resistance"
26,"empty"
26,"Spy"
28,"empty"
28,"Resistance"
30,"empty"
30,"Resistance"
