"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1996314343,-0.6,16,16,0.2,0.1,0.1,0.1,0.1
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1996317917,-0.6,16,16,0.2,0.1,0.1,0.1,0.3
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1996318468,-0.6,16,16,0.2,0.1,0.1,0.1,0.5
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1996320203,-0.6,16,16,0.2,0.1,0.1,0.1,0.7
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1996320703,-0.6,16,16,0.2,0.1,0.1,0.1,0.9
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1996321595,-0.6,16,16,0.2,0.1,0.1,0.2,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1996321874,-0.6,16,16,0.2,0.1,0.1,0.2,0.4
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1996322259,-0.6,16,16,0.2,0.1,0.1,0.2,0.6
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1996322483,-0.6,16,16,0.2,0.1,0.1,0.2,0.8
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1996322640,-0.6,16,16,0.2,0.1,0.1,0.3,0.1
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1996323285,-0.6,16,16,0.2,0.1,0.1,0.3,0.3
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1996323491,-0.6,16,16,0.2,0.1,0.1,0.3,0.5
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1996323702,-0.6,16,16,0.2,0.1,0.1,0.3,0.7
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1996323920,-0.6,16,16,0.2,0.1,0.1,0.3,0.9
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324077,-0.6,16,16,0.2,0.1,0.1,0.4,0.2
31,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324194,-0.6,16,16,0.2,0.1,0.1,0.4,0.4
33,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324333,-0.6,16,16,0.2,0.1,0.1,0.4,0.6
35,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324414,-0.6,16,16,0.2,0.1,0.1,0.4,0.8
37,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324524,-0.6,16,16,0.2,0.1,0.1,0.5,0.1
39,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324585,-0.6,16,16,0.2,0.1,0.1,0.5,0.3
41,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324673,-0.6,16,16,0.2,0.1,0.1,0.5,0.5
43,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324724,-0.6,16,16,0.2,0.1,0.1,0.5,0.7
45,-16,-0.99,-16,-0.1,-0.2,-0.99,1996324837,-0.6,16,16,0.2,0.1,0.1,0.5,0.9
