"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-1.0,-1.0,-0.99,1827178014,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
3,-16,-0.99,-16,-1.0,-1.0,-0.99,1827180916,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
5,-16,-0.99,-16,-1.0,-1.0,-0.99,1827181815,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
7,-16,-0.99,-16,-1.0,-1.0,-0.99,1827182240,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
9,-16,-0.99,-16,-1.0,-1.0,-0.99,1827182916,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
11,-16,-0.99,-16,-1.0,-1.0,-0.99,1827183423,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
13,-16,-0.99,-16,-1.0,-0.9,-0.99,1827184126,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
15,-16,-0.99,-16,-1.0,-0.9,-0.99,1827184262,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
17,-16,-0.99,-16,-1.0,-0.9,-0.99,1827184493,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
19,-16,-0.99,-16,-1.0,-0.9,-0.99,1827184629,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
21,-16,-0.99,-16,-1.0,-0.9,-0.99,1827184813,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
23,-16,-0.99,-16,-1.0,-0.8,-0.99,1827184933,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
25,-16,-0.99,-16,-1.0,-0.8,-0.99,1827185311,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
27,-16,-0.99,-16,-1.0,-0.8,-0.99,1827185415,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
29,-16,-0.99,-16,-1.0,-0.8,-0.99,1827185573,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
31,-16,-0.99,-16,-1.0,-0.8,-0.99,1827185772,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
33,-16,-0.99,-16,-1.0,-0.8,-0.99,1827185916,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
35,-16,-0.99,-16,-1.0,-0.7,-0.99,1827186056,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
37,-16,-0.99,-16,-1.0,-0.7,-0.99,1827186180,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
39,-16,-0.99,-16,-1.0,-0.7,-0.99,1827186244,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
41,-16,-0.99,-16,-1.0,-0.7,-0.99,1827186339,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
43,-16,-0.99,-16,-1.0,-0.7,-0.99,1827186489,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
45,-16,-0.99,-16,-1.0,-0.6,-0.99,1827186601,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
47,-16,-0.99,-16,-1.0,-0.6,-0.99,1827186680,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
49,-16,-0.99,-16,-1.0,-0.6,-0.99,1827186826,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
51,-16,-0.99,-16,-1.0,-0.6,-0.99,1827186958,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
53,-16,-0.99,-16,-1.0,-0.6,-0.99,1827187095,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
55,-16,-0.99,-16,-1.0,-0.6,-0.99,1827187183,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
57,-16,-0.99,-16,-1.0,-0.5,-0.99,1827187275,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
59,-16,-0.99,-16,-1.0,-0.5,-0.99,1827187388,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
61,-16,-0.99,-16,-1.0,-0.5,-0.99,1827187460,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
63,-16,-0.99,-16,-1.0,-0.5,-0.99,1827187539,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
65,-16,-0.99,-16,-1.0,-0.5,-0.99,1827187631,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
67,-16,-0.99,-16,-1.0,-0.4,-0.99,1827187702,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
69,-16,-0.99,-16,-1.0,-0.4,-0.99,1827187767,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
71,-16,-0.99,-16,-1.0,-0.4,-0.99,1827187930,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
73,-16,-0.99,-16,-1.0,-0.4,-0.99,1827188047,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
75,-16,-0.99,-16,-1.0,-0.4,-0.99,1827188258,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
77,-16,-0.99,-16,-1.0,-0.4,-0.99,1827188313,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
79,-16,-0.99,-16,-1.0,-0.3,-0.99,1827188399,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
81,-16,-0.99,-16,-1.0,-0.3,-0.99,1827188466,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
83,-16,-0.99,-16,-1.0,-0.3,-0.99,1827188611,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
85,-16,-0.99,-16,-1.0,-0.3,-0.99,1827188686,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
87,-16,-0.99,-16,-1.0,-0.3,-0.99,1827188738,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
89,-16,-0.99,-16,-1.0,-0.2,-0.99,1827188814,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
91,-16,-0.99,-16,-1.0,-0.2,-0.99,1827188877,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
93,-16,-0.99,-16,-1.0,-0.2,-0.99,1827188980,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
95,-16,-0.99,-16,-1.0,-0.2,-0.99,1827189071,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
97,-16,-0.99,-16,-1.0,-0.2,-0.99,1827189194,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
99,-16,-0.99,-16,-1.0,-0.2,-0.99,1827189280,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
101,-16,-0.99,-16,-1.0,-0.1,-0.99,1827189361,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
103,-16,-0.99,-16,-1.0,-0.1,-0.99,1827189456,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
105,-16,-0.99,-16,-1.0,-0.1,-0.99,1827189539,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
107,-16,-0.99,-16,-1.0,-0.1,-0.99,1827189610,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
109,-16,-0.99,-16,-1.0,-0.1,-0.99,1827189672,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
111,-16,-0.99,-16,-1.0,0.0,-0.99,1827189726,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
113,-16,-0.99,-16,-1.0,0.0,-0.99,1827189842,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
115,-16,-0.99,-16,-1.0,0.0,-0.99,1827189918,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
117,-16,-0.99,-16,-1.0,0.0,-0.99,1827189961,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
119,-16,-0.99,-16,-1.0,0.0,-0.99,1827190009,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
121,-16,-0.99,-16,-1.0,0.0,-0.99,1827190108,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
123,-16,-0.99,-16,-0.9,-1.0,-0.99,1827190167,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
125,-16,-0.99,-16,-0.9,-1.0,-0.99,1827190226,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
127,-16,-0.99,-16,-0.9,-1.0,-0.99,1827190292,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
129,-16,-0.99,-16,-0.9,-1.0,-0.99,1827190342,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
131,-16,-0.99,-16,-0.9,-1.0,-0.99,1827190411,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
133,-16,-0.99,-16,-0.9,-0.9,-0.99,1827190496,-0.6,16,16,0.4,0.1,-1.0,0.1,0.2
135,-16,-0.99,-16,-0.9,-0.9,-0.99,1827190599,-0.6,16,16,0.4,0.1,-0.8,0.1,0.2
137,-16,-0.99,-16,-0.9,-0.9,-0.99,1827190672,-0.6,16,16,0.4,0.1,-0.6,0.1,0.2
139,-16,-0.99,-16,-0.9,-0.9,-0.99,1827190776,-0.6,16,16,0.4,0.1,-0.4,0.1,0.2
141,-16,-0.99,-16,-0.9,-0.9,-0.99,1827190865,-0.6,16,16,0.4,0.1,-0.2,0.1,0.2
143,-16,-0.99,-16,-0.9,-0.9,-0.99,1827190938,-0.6,16,16,0.4,0.1,0.0,0.1,0.2
145,-16,-0.99,-16,-0.9,-0.8,-0.99,1827190998,-0.6,16,16,0.4,0.1,-0.9,0.1,0.2
147,-16,-0.99,-16,-0.9,-0.8,-0.99,1827191100,-0.6,16,16,0.4,0.1,-0.7,0.1,0.2
149,-16,-0.99,-16,-0.9,-0.8,-0.99,1827191166,-0.6,16,16,0.4,0.1,-0.5,0.1,0.2
151,-16,-0.99,-16,-0.9,-0.8,-0.99,1827191242,-0.6,16,16,0.4,0.1,-0.3,0.1,0.2
