"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Resistance"
5,"empty"
5,"Resistance"
7,"empty"
7,"Spy"
9,"empty"
9,"Resistance"
11,"empty"
11,"Spy"
13,"empty"
13,"Resistance"
15,"empty"
15,"Spy"
17,"empty"
17,"Spy"
19,"empty"
19,"Spy"
21,"empty"
21,"Spy"
23,"empty"
23,"Spy"
25,"empty"
25,"Spy"
27,"empty"
27,"Spy"
29,"empty"
29,"Spy"
31,"empty"
31,"Resistance"
33,"empty"
33,"Spy"
35,"empty"
35,"Spy"
37,"empty"
37,"Spy"
39,"empty"
39,"Spy"
41,"empty"
41,"Resistance"
43,"empty"
43,"Spy"
45,"empty"
45,"Resistance"
47,"empty"
47,"Spy"
49,"empty"
49,"Spy"
51,"empty"
51,"Spy"
53,"empty"
53,"Spy"
55,"empty"
55,"Resistance"
57,"empty"
57,"Spy"
59,"empty"
59,"Spy"
61,"empty"
61,"Spy"
63,"empty"
63,"Spy"
65,"empty"
65,"Resistance"
67,"empty"
67,"Spy"
69,"empty"
69,"Spy"
71,"empty"
71,"Resistance"
73,"empty"
73,"Resistance"
75,"empty"
75,"Spy"
77,"empty"
77,"Resistance"
79,"empty"
79,"Resistance"
81,"empty"
81,"Spy"
83,"empty"
83,"Resistance"
85,"empty"
85,"Spy"
87,"empty"
87,"Spy"
89,"empty"
89,"Spy"
91,"empty"
91,"Spy"
93,"empty"
93,"Resistance"
95,"empty"
95,"Spy"
97,"empty"
97,"Resistance"
99,"empty"
99,"Resistance"
2,"empty"
2,"Spy"
4,"empty"
4,"Resistance"
6,"empty"
6,"Spy"
8,"empty"
8,"Spy"
10,"empty"
10,"Resistance"
12,"empty"
12,"Resistance"
14,"empty"
14,"Resistance"
16,"empty"
16,"Spy"
18,"empty"
18,"Spy"
20,"empty"
20,"Spy"
22,"empty"
22,"Resistance"
24,"empty"
24,"Spy"
26,"empty"
26,"Spy"
28,"empty"
28,"Spy"
30,"empty"
30,"Spy"
32,"empty"
32,"Spy"
34,"empty"
34,"Spy"
36,"empty"
36,"Resistance"
38,"empty"
38,"Spy"
40,"empty"
40,"Spy"
42,"empty"
42,"Spy"
44,"empty"
44,"Spy"
46,"empty"
46,"Resistance"
48,"empty"
48,"Spy"
50,"empty"
50,"Spy"
52,"empty"
52,"Resistance"
54,"empty"
54,"Resistance"
56,"empty"
56,"Resistance"
58,"empty"
58,"Spy"
60,"empty"
60,"Resistance"
62,"empty"
62,"Spy"
64,"empty"
64,"Spy"
66,"empty"
66,"Spy"
68,"empty"
68,"Resistance"
70,"empty"
70,"Spy"
72,"empty"
72,"Spy"
74,"empty"
74,"Resistance"
76,"empty"
76,"Resistance"
78,"empty"
78,"Resistance"
80,"empty"
80,"Spy"
82,"empty"
82,"Spy"
84,"empty"
84,"Spy"
86,"empty"
86,"Spy"
88,"empty"
88,"Resistance"
90,"empty"
90,"Spy"
92,"empty"
92,"Spy"
94,"empty"
94,"Spy"
96,"empty"
96,"Resistance"
98,"empty"
98,"Resistance"
100,"empty"
100,"Resistance"
