"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-1.0,-1.0,-0.99,1828479680,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
3,-16,-0.99,-16,-1.0,-0.8,-0.99,1828483095,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
5,-16,-0.99,-16,-1.0,-0.6,-0.99,1828483446,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
7,-16,-0.99,-16,-1.0,-0.4,-0.99,1828483969,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
9,-16,-0.99,-16,-1.0,-0.2,-0.99,1828484092,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
11,-16,-0.99,-16,-1.0,0.0,-0.99,1828484496,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
13,-16,-0.99,-16,-0.9,-0.9,-0.99,1828484966,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
15,-16,-0.99,-16,-0.9,-0.7,-0.99,1828485489,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
17,-16,-0.99,-16,-0.9,-0.5,-0.99,1828485888,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
19,-16,-0.99,-16,-0.9,-0.3,-0.99,1828486050,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
21,-16,-0.99,-16,-0.9,-0.1,-0.99,1828486442,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
23,-16,-0.99,-16,-0.8,-1.0,-0.99,1828486552,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
25,-16,-0.99,-16,-0.8,-0.8,-0.99,1828486621,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
27,-16,-0.99,-16,-0.8,-0.6,-0.99,1828486733,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
29,-16,-0.99,-16,-0.8,-0.4,-0.99,1828486926,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
31,-16,-0.99,-16,-0.8,-0.2,-0.99,1828487294,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
33,-16,-0.99,-16,-0.8,0.0,-0.99,1828487403,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
35,-16,-0.99,-16,-0.7,-0.9,-0.99,1828487605,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
37,-16,-0.99,-16,-0.7,-0.7,-0.99,1828487694,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
39,-16,-0.99,-16,-0.7,-0.5,-0.99,1828487771,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
41,-16,-0.99,-16,-0.7,-0.3,-0.99,1828487839,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
43,-16,-0.99,-16,-0.7,-0.1,-0.99,1828487981,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
45,-16,-0.99,-16,-0.6,-1.0,-0.99,1828488054,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
47,-16,-0.99,-16,-0.6,-0.8,-0.99,1828488123,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
49,-16,-0.99,-16,-0.6,-0.6,-0.99,1828488195,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
51,-16,-0.99,-16,-0.6,-0.4,-0.99,1828488273,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
53,-16,-0.99,-16,-0.6,-0.2,-0.99,1828488388,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
55,-16,-0.99,-16,-0.6,0.0,-0.99,1828488457,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
57,-16,-0.99,-16,-0.5,-0.9,-0.99,1828488606,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
59,-16,-0.99,-16,-0.5,-0.7,-0.99,1828488685,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
61,-16,-0.99,-16,-0.5,-0.5,-0.99,1828488794,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
63,-16,-0.99,-16,-0.5,-0.3,-0.99,1828488926,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
65,-16,-0.99,-16,-0.5,-0.1,-0.99,1828489041,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
67,-16,-0.99,-16,-0.4,-1.0,-0.99,1828489121,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
69,-16,-0.99,-16,-0.4,-0.8,-0.99,1828489239,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
71,-16,-0.99,-16,-0.4,-0.6,-0.99,1828489327,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
73,-16,-0.99,-16,-0.4,-0.4,-0.99,1828489539,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
75,-16,-0.99,-16,-0.4,-0.2,-0.99,1828489656,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
77,-16,-0.99,-16,-0.4,0.0,-0.99,1828489764,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
79,-16,-0.99,-16,-0.3,-0.9,-0.99,1828489855,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
81,-16,-0.99,-16,-0.3,-0.7,-0.99,1828489976,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
83,-16,-0.99,-16,-0.3,-0.5,-0.99,1828490177,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
85,-16,-0.99,-16,-0.3,-0.3,-0.99,1828490266,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
87,-16,-0.99,-16,-0.3,-0.1,-0.99,1828490323,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
89,-16,-0.99,-16,-0.2,-1.0,-0.99,1828490398,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
91,-16,-0.99,-16,-0.2,-0.8,-0.99,1828490466,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
93,-16,-0.99,-16,-0.2,-0.6,-0.99,1828490559,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
95,-16,-0.99,-16,-0.2,-0.4,-0.99,1828490667,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
97,-16,-0.99,-16,-0.2,-0.2,-0.99,1828490778,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
99,-16,-0.99,-16,-0.2,0.0,-0.99,1828490886,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
101,-16,-0.99,-16,-0.1,-0.9,-0.99,1828490953,-0.6,16,16,0.4,0.1,-0.1,0.1,0.2
