"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-1.0,-16,-0.1,-0.2,-0.99,1398221364,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.8,-16,-0.1,-0.2,-0.99,1398225549,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.6,-16,-0.1,-0.2,-0.99,1398227843,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.4,-16,-0.1,-0.2,-0.99,1398228895,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.2,-16,-0.1,-0.2,-0.99,1398229551,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,0.0,-16,-0.1,-0.2,-0.99,1398229742,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.9,-16,-0.1,-0.2,-0.99,1398221366,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.7,-16,-0.1,-0.2,-0.99,1398224899,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.5,-16,-0.1,-0.2,-0.99,1398225927,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.3,-16,-0.1,-0.2,-0.99,1398227691,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.1,-16,-0.1,-0.2,-0.99,1398228413,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
