"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1400211925,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1400214664,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1400216470,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1400216955,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1400217726,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1400218637,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1400220016,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1400220455,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1400220872,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1400221413,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1400222019,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1400222588,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1400222886,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1400223325,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1400223590,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
31,-16,-0.99,-16,-0.1,-0.2,-0.99,1400223846,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
33,-16,-0.99,-16,-0.1,-0.2,-0.99,1400223992,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
35,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224119,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
37,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224342,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
39,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224468,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
41,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224551,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
43,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224677,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
45,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224741,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
47,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224811,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
49,-16,-0.99,-16,-0.1,-0.2,-0.99,1400224954,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
51,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225022,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
53,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225101,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
55,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225188,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
57,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225352,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
59,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225442,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
61,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225515,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
63,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225639,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
65,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225770,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
67,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225842,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
69,-16,-0.99,-16,-0.1,-0.2,-0.99,1400225904,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
71,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226013,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
73,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226221,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
75,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226317,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
77,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226401,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
79,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226505,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
81,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226661,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
83,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226790,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
85,-16,-0.99,-16,-0.1,-0.2,-0.99,1400226966,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
87,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227155,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
89,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227287,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
91,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227389,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
93,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227491,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
95,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227611,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
97,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227808,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
99,-16,-0.99,-16,-0.1,-0.2,-0.99,1400227892,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.99,-16,-0.1,-0.2,-0.99,1400212600,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.99,-16,-0.1,-0.2,-0.99,1400219630,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.99,-16,-0.1,-0.2,-0.99,1400220285,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.99,-16,-0.1,-0.2,-0.99,1400220993,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.99,-16,-0.1,-0.2,-0.99,1400221640,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
12,-16,-0.99,-16,-0.1,-0.2,-0.99,1400222214,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
