"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-1.0,-16,-0.1,-0.2,-0.99,1398456890,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.8,-16,-0.1,-0.2,-0.99,1398460032,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.6,-16,-0.1,-0.2,-0.99,1398461474,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.4,-16,-0.1,-0.2,-0.99,1398463018,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.2,-16,-0.1,-0.2,-0.99,1398463591,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,0.0,-16,-0.1,-0.2,-0.99,1398464390,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
13,-16,-0.9,-16,-0.1,-0.2,-0.99,1398465190,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
15,-16,-0.7,-16,-0.1,-0.2,-0.99,1398465399,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
17,-16,-0.5,-16,-0.1,-0.2,-0.99,1398465766,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
19,-16,-0.3,-16,-0.1,-0.2,-0.99,1398466072,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
21,-16,-0.1,-16,-0.1,-0.2,-0.99,1398466302,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
23,-16,-1.0,-16,-0.1,-0.2,-0.99,1398466844,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
25,-16,-0.8,-16,-0.1,-0.2,-0.99,1398466992,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
27,-16,-0.6,-16,-0.1,-0.2,-0.99,1398467107,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
29,-16,-0.4,-16,-0.1,-0.2,-0.99,1398467460,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
31,-16,-0.2,-16,-0.1,-0.2,-0.99,1398467765,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
33,-16,0.0,-16,-0.1,-0.2,-0.99,1398467933,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
35,-16,-0.9,-16,-0.1,-0.2,-0.99,1398468043,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
37,-16,-0.7,-16,-0.1,-0.2,-0.99,1398468151,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
39,-16,-0.5,-16,-0.1,-0.2,-0.99,1398468232,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
41,-16,-0.3,-16,-0.1,-0.2,-0.99,1398468321,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
43,-16,-0.1,-16,-0.1,-0.2,-0.99,1398468448,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
45,-16,-1.0,-16,-0.1,-0.2,-0.99,1398468582,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
47,-16,-0.8,-16,-0.1,-0.2,-0.99,1398468784,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
49,-16,-0.6,-16,-0.1,-0.2,-0.99,1398468978,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
51,-16,-0.4,-16,-0.1,-0.2,-0.99,1398469144,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
53,-16,-0.2,-16,-0.1,-0.2,-0.99,1398469201,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
55,-16,0.0,-16,-0.1,-0.2,-0.99,1398469295,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.9,-16,-0.1,-0.2,-0.99,1398457117,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.7,-16,-0.1,-0.2,-0.99,1398461691,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.5,-16,-0.1,-0.2,-0.99,1398463042,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.3,-16,-0.1,-0.2,-0.99,1398464125,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.1,-16,-0.1,-0.2,-0.99,1398464985,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
12,-16,-1.0,-16,-0.1,-0.2,-0.99,1398465259,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
14,-16,-0.8,-16,-0.1,-0.2,-0.99,1398465495,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
16,-16,-0.6,-16,-0.1,-0.2,-0.99,1398465734,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
18,-16,-0.4,-16,-0.1,-0.2,-0.99,1398465942,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
20,-16,-0.2,-16,-0.1,-0.2,-0.99,1398466225,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
22,-16,0.0,-16,-0.1,-0.2,-0.99,1398466655,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
24,-16,-0.9,-16,-0.1,-0.2,-0.99,1398467056,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
26,-16,-0.7,-16,-0.1,-0.2,-0.99,1398467188,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
28,-16,-0.5,-16,-0.1,-0.2,-0.99,1398467586,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
30,-16,-0.3,-16,-0.1,-0.2,-0.99,1398467701,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
