"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1399551958,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1399554397,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1399554699,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1399555454,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1399555964,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1399556506,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1399556996,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557317,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557484,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557605,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557757,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557949,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1399558360,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1399558491,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1399558574,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.99,-16,-0.1,-0.2,-0.99,1399552221,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.99,-16,-0.1,-0.2,-0.99,1399555233,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.99,-16,-0.1,-0.2,-0.99,1399555598,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.99,-16,-0.1,-0.2,-0.99,1399556021,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.99,-16,-0.1,-0.2,-0.99,1399556379,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
12,-16,-0.99,-16,-0.1,-0.2,-0.99,1399556795,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
14,-16,-0.99,-16,-0.1,-0.2,-0.99,1399556907,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
16,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557264,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
18,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557423,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
20,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557551,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
22,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557695,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
24,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557852,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
26,-16,-0.99,-16,-0.1,-0.2,-0.99,1399557959,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
28,-16,-0.99,-16,-0.1,-0.2,-0.99,1399558353,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
30,-16,-0.99,-16,-0.1,-0.2,-0.99,1399558492,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
