"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Spy"
5,"empty"
5,"Spy"
7,"empty"
7,"Spy"
9,"empty"
9,"Spy"
11,"empty"
11,"Resistance"
13,"empty"
13,"Resistance"
15,"empty"
15,"Spy"
17,"empty"
17,"Spy"
19,"empty"
19,"Spy"
21,"empty"
21,"Spy"
23,"empty"
23,"Spy"
25,"empty"
25,"Spy"
27,"empty"
27,"Spy"
29,"empty"
29,"Resistance"
31,"empty"
31,"Spy"
33,"empty"
33,"Resistance"
35,"empty"
35,"Spy"
37,"empty"
37,"Resistance"
39,"empty"
39,"Spy"
41,"empty"
41,"Spy"
43,"empty"
43,"Spy"
45,"empty"
45,"Resistance"
47,"empty"
47,"Spy"
49,"empty"
49,"Spy"
51,"empty"
51,"Spy"
53,"empty"
53,"Spy"
55,"empty"
55,"Spy"
57,"empty"
57,"Resistance"
59,"empty"
59,"Spy"
61,"empty"
61,"Resistance"
63,"empty"
63,"Spy"
65,"empty"
65,"Spy"
67,"empty"
67,"Resistance"
69,"empty"
69,"Resistance"
71,"empty"
71,"Spy"
73,"empty"
73,"Resistance"
75,"empty"
75,"Spy"
77,"empty"
77,"Resistance"
79,"empty"
79,"Resistance"
81,"empty"
81,"Spy"
83,"empty"
83,"Spy"
85,"empty"
85,"Spy"
87,"empty"
87,"Resistance"
89,"empty"
89,"Spy"
91,"empty"
91,"Spy"
93,"empty"
93,"Spy"
95,"empty"
95,"Resistance"
97,"empty"
97,"Resistance"
99,"empty"
99,"Resistance"
101,"empty"
101,"Resistance"
103,"empty"
103,"Spy"
105,"empty"
105,"Spy"
107,"empty"
107,"Spy"
109,"empty"
109,"Resistance"
111,"empty"
111,"Spy"
113,"empty"
113,"Spy"
115,"empty"
115,"Spy"
117,"empty"
117,"Spy"
119,"empty"
119,"Spy"
121,"empty"
121,"Spy"
123,"empty"
123,"Resistance"
125,"empty"
125,"Spy"
127,"empty"
127,"Spy"
129,"empty"
129,"Resistance"
131,"empty"
131,"Spy"
133,"empty"
133,"Spy"
135,"empty"
135,"Spy"
137,"empty"
137,"Spy"
139,"empty"
139,"Resistance"
141,"empty"
141,"Spy"
143,"empty"
143,"Resistance"
145,"empty"
145,"Spy"
147,"empty"
147,"Resistance"
149,"empty"
149,"Resistance"
151,"empty"
151,"Spy"
153,"empty"
153,"Spy"
155,"empty"
155,"Resistance"
157,"empty"
157,"Spy"
159,"empty"
159,"Spy"
161,"empty"
161,"Spy"
163,"empty"
163,"Spy"
165,"empty"
165,"Spy"
167,"empty"
167,"Spy"
169,"empty"
169,"Resistance"
171,"empty"
171,"Spy"
173,"empty"
173,"Resistance"
175,"empty"
175,"Resistance"
177,"empty"
177,"Spy"
179,"empty"
179,"Spy"
181,"empty"
181,"Spy"
183,"empty"
183,"Resistance"
185,"empty"
185,"Spy"
187,"empty"
187,"Spy"
189,"empty"
189,"Resistance"
191,"empty"
191,"Spy"
193,"empty"
193,"Spy"
195,"empty"
195,"Spy"
197,"empty"
197,"Spy"
199,"empty"
199,"Spy"
201,"empty"
201,"Spy"
203,"empty"
203,"Spy"
205,"empty"
205,"Resistance"
207,"empty"
207,"Spy"
209,"empty"
209,"Resistance"
211,"empty"
211,"Spy"
213,"empty"
213,"Resistance"
215,"empty"
215,"Resistance"
217,"empty"
217,"Spy"
219,"empty"
219,"Spy"
221,"empty"
221,"Resistance"
223,"empty"
223,"Resistance"
225,"empty"
225,"Spy"
227,"empty"
227,"Resistance"
229,"empty"
229,"Spy"
231,"empty"
231,"Spy"
233,"empty"
233,"Spy"
235,"empty"
235,"Spy"
237,"empty"
237,"Spy"
239,"empty"
239,"Resistance"
241,"empty"
241,"Spy"
243,"empty"
243,"Spy"
245,"empty"
245,"Spy"
247,"empty"
247,"Resistance"
249,"empty"
249,"Spy"
251,"empty"
251,"Resistance"
253,"empty"
253,"Spy"
255,"empty"
255,"Resistance"
257,"empty"
257,"Resistance"
259,"empty"
259,"Resistance"
261,"empty"
261,"Spy"
263,"empty"
263,"Spy"
265,"empty"
265,"Spy"
267,"empty"
267,"Spy"
269,"empty"
269,"Spy"
271,"empty"
271,"Spy"
273,"empty"
273,"Spy"
275,"empty"
275,"Resistance"
277,"empty"
277,"Spy"
279,"empty"
279,"Spy"
281,"empty"
281,"Resistance"
283,"empty"
283,"Spy"
285,"empty"
285,"Resistance"
287,"empty"
287,"Spy"
289,"empty"
289,"Spy"
291,"empty"
291,"Resistance"
293,"empty"
293,"Spy"
295,"empty"
295,"Resistance"
297,"empty"
297,"Spy"
299,"empty"
299,"Spy"
301,"empty"
301,"Spy"
303,"empty"
303,"Spy"
305,"empty"
305,"Spy"
307,"empty"
307,"Spy"
309,"empty"
309,"Spy"
311,"empty"
311,"Spy"
313,"empty"
313,"Resistance"
315,"empty"
315,"Spy"
317,"empty"
317,"Spy"
319,"empty"
319,"Spy"
321,"empty"
321,"Resistance"
323,"empty"
323,"Spy"
325,"empty"
325,"Resistance"
327,"empty"
327,"Spy"
329,"empty"
329,"Resistance"
331,"empty"
331,"Spy"
333,"empty"
333,"Spy"
335,"empty"
335,"Spy"
337,"empty"
337,"Spy"
339,"empty"
339,"Resistance"
341,"empty"
341,"Spy"
343,"empty"
343,"Spy"
345,"empty"
345,"Resistance"
347,"empty"
347,"Spy"
349,"empty"
349,"Spy"
351,"empty"
351,"Resistance"
353,"empty"
353,"Spy"
355,"empty"
355,"Resistance"
357,"empty"
357,"Spy"
359,"empty"
359,"Resistance"
361,"empty"
361,"Resistance"
363,"empty"
363,"Resistance"
365,"empty"
365,"Spy"
367,"empty"
367,"Resistance"
369,"empty"
369,"Resistance"
371,"empty"
371,"Resistance"
373,"empty"
373,"Spy"
375,"empty"
375,"Spy"
377,"empty"
377,"Spy"
379,"empty"
379,"Spy"
381,"empty"
381,"Resistance"
383,"empty"
383,"Spy"
385,"empty"
385,"Spy"
387,"empty"
387,"Spy"
389,"empty"
389,"Resistance"
391,"empty"
391,"Spy"
393,"empty"
393,"Resistance"
395,"empty"
395,"Spy"
397,"empty"
397,"Resistance"
399,"empty"
399,"Resistance"
401,"empty"
401,"Spy"
403,"empty"
403,"Resistance"
405,"empty"
405,"Spy"
407,"empty"
407,"Resistance"
409,"empty"
409,"Spy"
411,"empty"
411,"Resistance"
413,"empty"
413,"Resistance"
415,"empty"
415,"Spy"
417,"empty"
417,"Resistance"
419,"empty"
419,"Spy"
421,"empty"
421,"Spy"
423,"empty"
423,"Spy"
425,"empty"
425,"Spy"
427,"empty"
427,"Spy"
429,"empty"
429,"Spy"
431,"empty"
431,"Resistance"
433,"empty"
433,"Spy"
435,"empty"
435,"Spy"
437,"empty"
437,"Spy"
439,"empty"
439,"Resistance"
2,"empty"
2,"Spy"
4,"empty"
4,"Resistance"
6,"empty"
6,"Resistance"
8,"empty"
8,"Resistance"
10,"empty"
10,"Resistance"
12,"empty"
12,"Resistance"
14,"empty"
14,"Resistance"
16,"empty"
16,"Resistance"
18,"empty"
18,"Spy"
20,"empty"
20,"Spy"
22,"empty"
22,"Resistance"
24,"empty"
24,"Spy"
26,"empty"
26,"Spy"
28,"empty"
28,"Spy"
30,"empty"
30,"Spy"
32,"empty"
32,"Spy"
34,"empty"
34,"Spy"
36,"empty"
36,"Spy"
38,"empty"
38,"Spy"
40,"empty"
40,"Resistance"
42,"empty"
42,"Resistance"
44,"empty"
44,"Spy"
46,"empty"
46,"Spy"
48,"empty"
48,"Resistance"
50,"empty"
50,"Spy"
52,"empty"
52,"Spy"
54,"empty"
54,"Spy"
56,"empty"
56,"Spy"
58,"empty"
58,"Resistance"
60,"empty"
60,"Spy"
62,"empty"
62,"Spy"
64,"empty"
64,"Resistance"
66,"empty"
66,"Spy"
68,"empty"
68,"Resistance"
70,"empty"
70,"Spy"
72,"empty"
72,"Spy"
74,"empty"
74,"Resistance"
76,"empty"
76,"Resistance"
78,"empty"
78,"Resistance"
80,"empty"
80,"Resistance"
82,"empty"
82,"Resistance"
84,"empty"
84,"Resistance"
86,"empty"
86,"Resistance"
88,"empty"
88,"Spy"
90,"empty"
90,"Spy"
92,"empty"
92,"Resistance"
94,"empty"
94,"Resistance"
96,"empty"
96,"Spy"
98,"empty"
98,"Resistance"
100,"empty"
100,"Spy"
102,"empty"
102,"Resistance"
104,"empty"
104,"Spy"
106,"empty"
106,"Spy"
108,"empty"
108,"Resistance"
110,"empty"
110,"Spy"
112,"empty"
112,"Spy"
114,"empty"
114,"Spy"
116,"empty"
116,"Spy"
118,"empty"
118,"Resistance"
120,"empty"
120,"Spy"
122,"empty"
122,"Spy"
124,"empty"
124,"Resistance"
126,"empty"
126,"Resistance"
128,"empty"
128,"Spy"
130,"empty"
130,"Spy"
132,"empty"
132,"Spy"
134,"empty"
134,"Spy"
136,"empty"
136,"Spy"
138,"empty"
138,"Spy"
140,"empty"
140,"Resistance"
142,"empty"
142,"Spy"
144,"empty"
144,"Resistance"
146,"empty"
146,"Spy"
148,"empty"
148,"Spy"
150,"empty"
150,"Spy"
152,"empty"
152,"Spy"
154,"empty"
154,"Spy"
156,"empty"
156,"Spy"
158,"empty"
158,"Spy"
160,"empty"
160,"Spy"
162,"empty"
162,"Resistance"
164,"empty"
164,"Spy"
166,"empty"
166,"Spy"
168,"empty"
168,"Spy"
170,"empty"
